Instance  		Objective		Scheduling														Heuristic		Duration (in s)
instance9 		12356			ratio value/totalWeight crescent                    			Static 			0.000864
instance9 		10576			ratio value/totalWeight crescent                    			Dynamic			0.000850
instance10 		23705			ratio value/totalWeight descending                  			Dynamic			0.000748
instance10 		22150			ratio value/totalWeight descending                  			Static 			0.000828
instance10 		21147			ratio value/weightOfMostCriticalDimension crescent  			Static 			0.001722
instance10 		21147			ratio value/weightOfMostCriticalDimension crescent  			Dynamic			0.001798
instance10 		20588			descending                                          			Static 			0.000300
instance10 		20588			descending                                          			Dynamic			0.000302
instance10 		20348			ratio value/weightOfMostFullDimension descending    			Static 			0.002136
instance10 		20348			ratio value/weightOfMostFullDimension descending    			Dynamic			0.002042
instance10 		18827			random                                              			Static 			0.000442
instance10 		18207			random                                              			Dynamic			0.000428
instance10 		15973			ratio value/weightOfMostFullDimension crescent      			Dynamic			0.002162
instance10 		15427			ratio value/weightOfMostFullDimension crescent      			Static 			0.002154
instance10 		15357			crescent                                            			Static 			0.000324
instance10 		14878			ratio value/weightOfMostCriticalDimension descending			Dynamic			0.001568
instance10 		14641			crescent                                            			Dynamic			0.000324
instance10 		13207			ratio value/totalWeight crescent                    			Dynamic			0.000798
instance10 		13152			ratio value/weightOfMostCriticalDimension descending			Static 			0.001726
instance10 		12946			ratio value/totalWeight crescent                    			Static 			0.000858
instance11 		41331			ratio value/totalWeight descending                  			Static 			0.000812
instance11 		41331			ratio value/totalWeight descending                  			Dynamic			0.000854
instance11 		39979			ratio value/weightOfMostCriticalDimension crescent  			Static 			0.001462
instance11 		39535			ratio value/weightOfMostCriticalDimension crescent  			Dynamic			0.001466
instance11 		37822			descending                                          			Static 			0.000388
instance11 		37822			descending                                          			Dynamic			0.000568
instance11 		36760			ratio value/weightOfMostFullDimension descending    			Static 			0.002032
instance11 		36760			ratio value/weightOfMostFullDimension descending    			Dynamic			0.001986
instance11 		35454			random                                              			Static 			0.000554
instance11 		33510			crescent                                            			Dynamic			0.000480
instance11 		33167			random                                              			Dynamic			0.000480
instance11 		32723			ratio value/weightOfMostFullDimension crescent      			Static 			0.002012
instance11 		32112			ratio value/weightOfMostFullDimension crescent      			Dynamic			0.001888
instance11 		31373			crescent                                            			Static 			0.000512
instance11 		30306			ratio value/weightOfMostCriticalDimension descending			Static 			0.002068
instance11 		30306			ratio value/weightOfMostCriticalDimension descending			Dynamic			0.001794
instance11 		30115			ratio value/totalWeight crescent                    			Dynamic			0.000928
instance11 		29594			ratio value/totalWeight crescent                    			Static 			0.000888
instance12 		40362			ratio value/totalWeight descending                  			Dynamic			0.000810
instance12 		39967			ratio value/weightOfMostCriticalDimension crescent  			Dynamic			0.002140
instance12 		38754			ratio value/totalWeight descending                  			Static 			0.000860
instance12 		38164			ratio value/weightOfMostCriticalDimension crescent  			Static 			0.002042
instance12 		36937			random                                              			Static 			0.000534
instance12 		36937			random                                              			Dynamic			0.000476
instance12 		35181			ratio value/weightOfMostFullDimension descending    			Static 			0.002260
instance12 		35181			ratio value/weightOfMostFullDimension descending    			Dynamic			0.002058
instance12 		34569			descending                                          			Static 			0.000344
instance12 		34569			descending                                          			Dynamic			0.000422
instance12 		31121			ratio value/weightOfMostFullDimension crescent      			Dynamic			0.002376
instance12 		29774			ratio value/weightOfMostFullDimension crescent      			Static 			0.002110
instance12 		28714			ratio value/totalWeight crescent                    			Dynamic			0.000752
instance12 		28597			ratio value/weightOfMostCriticalDimension descending			Static 			0.001508
instance12 		28597			ratio value/weightOfMostCriticalDimension descending			Dynamic			0.001962
instance12 		28506			ratio value/totalWeight crescent                    			Static 			0.000772
instance12 		27800			crescent                                            			Static 			0.000432
instance12 		27326			crescent                                            			Dynamic			0.000448
