Instance	Objective	Duration (in s)
instance28	48407	0.000856
instance29	57537	0.000980
instance29	56360	0.000976
instance29	55274	0.001698
instance29	55274	0.002564
instance29	53994	0.000438
instance29	53994	0.000446
instance29	53104	0.001926
instance29	53104	0.002466
instance29	51677	0.000550
instance29	51265	0.000548
instance29	49283	0.002418
instance29	49283	0.002480
instance29	49283	0.001694
instance29	49283	0.001914
instance29	48958	0.000398
instance29	48094	0.000786
instance29	46948	0.000804
instance29	46545	0.000440
instance30	58878	0.000936
instance30	58878	0.001010
instance30	57551	0.001928
instance30	57551	0.002734
instance30	57201	0.001826
instance30	57201	0.002662
instance30	55775	0.000448
instance30	55775	0.000430
instance30	53212	0.000542
instance30	52737	0.000584
instance30	52409	0.000494
instance30	49876	0.000446
instance30	49639	0.001010
instance30	48565	0.001844
instance30	48565	0.002434
instance30	48086	0.002738
instance30	48086	0.001746
instance30	47492	0.001068
