Instance	Objective	Scheduling	Heuristic	Duration (in s)
instance8	17219	ratio value/weightOfMostCriticalDimension crescent	Static	0.001834
instance8	17093	random	Dynamic	0.000450
instance8	16565	random	Static	0.000402
instance8	15302	crescent	Dynamic	0.000372
instance8	14734	crescent	Static	0.000422
instance8	13997	ratio value/weightOfMostCriticalDimension descending	Static	0.001782
instance8	13997	ratio value/weightOfMostFullDimension descending	Static	0.002610
instance8	13560	ratio value/weightOfMostCriticalDimension descending	Dynamic	0.001794
instance8	13560	ratio value/weightOfMostFullDimension descending	Dynamic	0.002484
instance8	13177	ratio value/totalWeight crescent	Dynamic	0.000832
instance8	13056	ratio value/totalWeight crescent	Static	0.000744
instance9	21614	ratio value/totalWeight descending	Dynamic	0.000834
instance9	20864	ratio value/totalWeight descending	Static	0.000946
instance9	19343	ratio value/weightOfMostCriticalDimension crescent	Dynamic	0.001764
instance9	19343	ratio value/weightOfMostFullDimension crescent	Dynamic	0.002492
instance9	18637	descending	Static	0.000312
instance9	18637	descending	Dynamic	0.000342
instance9	18460	ratio value/weightOfMostFullDimension crescent	Static	0.002522
instance9	18460	ratio value/weightOfMostCriticalDimension crescent	Static	0.001598
instance9	17517	random	Dynamic	0.000540
instance9	16910	random	Static	0.000484
instance9	14987	ratio value/weightOfMostCriticalDimension descending	Static	0.001836
instance9	14987	ratio value/weightOfMostFullDimension descending	Static	0.002620
instance9	14476	ratio value/weightOfMostCriticalDimension descending	Dynamic	0.001704
instance9	14476	ratio value/weightOfMostFullDimension descending	Dynamic	0.002312
instance9	14093	crescent	Static	0.000538
instance9	13642	crescent	Dynamic	0.000440
instance9	12356	ratio value/totalWeight crescent	Static	0.000820
instance9	10576	ratio value/totalWeight crescent	Dynamic	0.000788
instance10	23705	ratio value/totalWeight descending	Dynamic	0.000810
instance10	22150	ratio value/totalWeight descending	Static	0.000852
instance10	21147	ratio value/weightOfMostCriticalDimension crescent	Static	0.001712
instance10	21147	ratio value/weightOfMostCriticalDimension crescent	Dynamic	0.001650
instance10	21147	ratio value/weightOfMostFullDimension crescent	Static	0.001700
instance10	21147	ratio value/weightOfMostFullDimension crescent	Dynamic	0.001846
instance10	20588	descending	Static	0.000396
instance10	20588	descending	Dynamic	0.000368
instance10	16888	random	Static	0.000496
instance10	15357	crescent	Static	0.000374
instance10	14878	ratio value/weightOfMostCriticalDimension descending	Dynamic	0.001598
instance10	14878	ratio value/weightOfMostFullDimension descending	Dynamic	0.002012
instance10	14645	random	Dynamic	0.000464
instance10	14641	crescent	Dynamic	0.000374
instance10	13207	ratio value/totalWeight crescent	Dynamic	0.000724
instance10	13152	ratio value/weightOfMostFullDimension descending	Static	0.002100
