Instance	Objective	Scheduling	Heuristic	Duration (in s)
instance9	21614	ratio value/totalWeight descending	Dynamic	0.000824
instance9	20864	ratio value/totalWeight descending	Static 	0.000804
instance9	19343	ratio value/weightOfMostCriticalDimension crescent	Dynamic	0.001724
instance9	19343	ratio value/weightOfMostFullDimension crescent	Dynamic	0.002288
instance9	18637	descending	Static 	0.000298
instance9	18637	descending	Dynamic	0.000298
instance9	18460	ratio value/weightOfMostFullDimension crescent	Static 	0.002284
instance9	18460	ratio value/weightOfMostCriticalDimension crescent	Static 	0.001568
instance9	16906	random	Dynamic	0.000520
instance9	14987	ratio value/weightOfMostCriticalDimension descending	Static 	0.001706
instance9	14987	ratio value/weightOfMostFullDimension descending	Static 	0.002646
instance9	14476	ratio value/weightOfMostCriticalDimension descending	Dynamic	0.001810
instance9	14476	ratio value/weightOfMostFullDimension descending	Dynamic	0.002592
instance9	14128	random	Static 	0.000526
instance9	14093	crescent	Static 	0.000368
instance9	13642	crescent	Dynamic	0.000340
instance9	12356	ratio value/totalWeight crescent	Static 	0.000744
instance9	10576	ratio value/totalWeight crescent	Dynamic	0.000728
instance10	23705	ratio value/totalWeight descending	Dynamic	0.000770
instance10	22150	ratio value/totalWeight descending	Static 	0.000810
instance10	21147	ratio value/weightOfMostCriticalDimension crescent	Static 	0.001938
instance10	21147	ratio value/weightOfMostCriticalDimension crescent	Dynamic	0.001680
instance10	21147	ratio value/weightOfMostFullDimension crescent	Static 	0.002272
instance10	21147	ratio value/weightOfMostFullDimension crescent	Dynamic	0.002280
instance10	20588	descending	Static 	0.000342
instance10	20588	descending	Dynamic	0.000306
instance10	18692	random	Static 	0.000510
instance10	17390	random	Dynamic	0.000498
instance10	15357	crescent	Static 	0.000384
instance10	14878	ratio value/weightOfMostCriticalDimension descending	Dynamic	0.001620
instance10	14878	ratio value/weightOfMostFullDimension descending	Dynamic	0.002224
instance10	14641	crescent	Dynamic	0.000382
instance10	13207	ratio value/totalWeight crescent	Dynamic	0.000808
instance10	13152	ratio value/weightOfMostFullDimension descending	Static 	0.002624
instance10	13152	ratio value/weightOfMostCriticalDimension descending	Static 	0.001554
instance10	12946	ratio value/totalWeight crescent	Static 	0.000820
instance11	41331	ratio value/totalWeight descending	Static 	0.000850
instance11	41331	ratio value/totalWeight descending	Dynamic	0.000822
instance11	39979	ratio value/weightOfMostCriticalDimension crescent	Static 	0.001648
instance11	39979	ratio value/weightOfMostFullDimension crescent	Static 	0.002558
instance11	39535	ratio value/weightOfMostCriticalDimension crescent	Dynamic	0.001610
instance11	39535	ratio value/weightOfMostFullDimension crescent	Dynamic	0.002522
instance11	37822	descending	Static 	0.000412
instance11	37822	descending	Dynamic	0.000402
instance11	33510	crescent	Dynamic	0.000482
instance11	32945	random	Dynamic	0.000642
instance11	32000	random	Static 	0.000572
instance11	31373	crescent	Static 	0.000500
instance11	30306	ratio value/weightOfMostFullDimension descending	Static 	0.002468
instance11	30306	ratio value/weightOfMostFullDimension descending	Dynamic	0.002350
instance11	30306	ratio value/weightOfMostCriticalDimension descending	Static 	0.001956
instance11	30306	ratio value/weightOfMostCriticalDimension descending	Dynamic	0.001786
instance11	30115	ratio value/totalWeight crescent	Dynamic	0.000836
instance11	29594	ratio value/totalWeight crescent	Static 	0.000830
instance12	40362	ratio value/totalWeight descending	Dynamic	0.000992
instance12	39967	ratio value/weightOfMostCriticalDimension crescent	Dynamic	0.001870
instance12	39967	ratio value/weightOfMostFullDimension crescent	Dynamic	0.002376
instance12	38754	ratio value/totalWeight descending	Static 	0.000992
instance12	38164	ratio value/weightOfMostFullDimension crescent	Static 	0.002474
instance12	38164	ratio value/weightOfMostCriticalDimension crescent	Static 	0.001658
instance12	34569	descending	Static 	0.000478
instance12	34569	descending	Dynamic	0.000442
instance12	33623	random	Dynamic	0.000860
instance12	33284	random	Static 	0.000722
instance12	28714	ratio value/totalWeight crescent	Dynamic	0.000986
instance12	28597	ratio value/weightOfMostFullDimension descending	Static 	0.002442
instance12	28597	ratio value/weightOfMostFullDimension descending	Dynamic	0.002404
instance12	28597	ratio value/weightOfMostCriticalDimension descending	Static 	0.001868
instance12	28597	ratio value/weightOfMostCriticalDimension descending	Dynamic	0.001632
instance12	28506	ratio value/totalWeight crescent	Static 	0.001016
instance12	27800	crescent	Static 	0.000532
instance12	27326	crescent	Dynamic	0.000528
instance13	39471	ratio value/totalWeight descending	Static 	0.000952
instance13	38886	ratio value/totalWeight descending	Dynamic	0.001020
instance13	37757	ratio value/weightOfMostCriticalDimension crescent	Dynamic	0.001618
instance13	37757	ratio value/weightOfMostFullDimension crescent	Dynamic	0.002724
instance13	37613	ratio value/weightOfMostFullDimension crescent	Static 	0.002342
instance13	37613	ratio value/weightOfMostCriticalDimension crescent	Static 	0.001628
instance13	37474	descending	Static 	0.000478
instance13	37474	descending	Dynamic	0.000488
instance13	32693	random	Static 	0.000594
instance13	32361	crescent	Static 	0.000526
instance13	31567	crescent	Dynamic	0.000482
instance13	31536	random	Dynamic	0.000674
instance13	29708	ratio value/weightOfMostCriticalDimension descending	Static 	0.001716
instance13	29708	ratio value/weightOfMostFullDimension descending	Static 	0.002384
instance13	28055	ratio value/weightOfMostCriticalDimension descending	Dynamic	0.001620
instance13	28055	ratio value/weightOfMostFullDimension descending	Dynamic	0.002390
instance13	26233	ratio value/totalWeight crescent	Static 	0.001022
instance13	24735	ratio value/totalWeight crescent	Dynamic	0.000954
instance14	41106	ratio value/totalWeight descending	Static 	0.000890
instance14	41106	ratio value/totalWeight descending	Dynamic	0.000892
instance14	39721	ratio value/weightOfMostCriticalDimension crescent	Static 	0.001622
instance14	39721	ratio value/weightOfMostCriticalDimension crescent	Dynamic	0.001758
instance14	39721	ratio value/weightOfMostFullDimension crescent	Static 	0.003042
instance14	39721	ratio value/weightOfMostFullDimension crescent	Dynamic	0.002708
instance14	38227	descending	Static 	0.000404
instance14	38227	descending	Dynamic	0.000400
instance14	33141	random	Static 	0.000712
instance14	32670	random	Dynamic	0.000674
instance14	32528	crescent	Static 	0.000488
instance14	31309	ratio value/weightOfMostCriticalDimension descending	Dynamic	0.001766
