Instance  		Objective		Scheduling														Heuristic		Duration (in s)
instance8 		13997			ratio value/weightOfMostFullDimension descending    			Static 			0.002328
instance8 		13560			ratio value/weightOfMostCriticalDimension descending			Dynamic			0.001514
instance8 		13560			ratio value/weightOfMostFullDimension descending    			Dynamic			0.002200
instance8 		13177			ratio value/totalWeight crescent                    			Dynamic			0.000726
instance8 		13056			ratio value/totalWeight crescent                    			Static 			0.000814
instance8 		13056			random                                              			Dynamic			0.000370
instance9 		21614			ratio value/totalWeight descending                  			Dynamic			0.000498
instance9 		20864			ratio value/totalWeight descending                  			Static 			0.000582
instance9 		19343			ratio value/weightOfMostCriticalDimension crescent  			Dynamic			0.001552
instance9 		19343			ratio value/weightOfMostFullDimension crescent      			Dynamic			0.002406
instance9 		18637			descending                                          			Static 			0.000198
instance9 		18637			descending                                          			Dynamic			0.000196
instance9 		18460			ratio value/weightOfMostFullDimension crescent      			Static 			0.002414
instance9 		18460			ratio value/weightOfMostCriticalDimension crescent  			Static 			0.001598
instance9 		17662			random                                              			Static 			0.000304
instance9 		16830			random                                              			Dynamic			0.000284
instance9 		14987			ratio value/weightOfMostCriticalDimension descending			Static 			0.001504
instance9 		14987			ratio value/weightOfMostFullDimension descending    			Static 			0.002202
instance9 		14476			ratio value/weightOfMostCriticalDimension descending			Dynamic			0.001556
instance9 		14476			ratio value/weightOfMostFullDimension descending    			Dynamic			0.002422
instance9 		14093			crescent                                            			Static 			0.000258
instance9 		13642			crescent                                            			Dynamic			0.000224
instance9 		12356			ratio value/totalWeight crescent                    			Static 			0.000518
instance9 		10576			ratio value/totalWeight crescent                    			Dynamic			0.000654
instance10 		23705			ratio value/totalWeight descending                  			Dynamic			0.000808
instance10 		22150			ratio value/totalWeight descending                  			Static 			0.000758
instance10 		21147			ratio value/weightOfMostCriticalDimension crescent  			Static 			0.001890
instance10 		21147			ratio value/weightOfMostCriticalDimension crescent  			Dynamic			0.001852
instance10 		21147			ratio value/weightOfMostFullDimension crescent      			Static 			0.002462
instance10 		21147			ratio value/weightOfMostFullDimension crescent      			Dynamic			0.002496
instance10 		20588			descending                                          			Static 			0.000366
instance10 		20588			descending                                          			Dynamic			0.000372
instance10 		19064			random                                              			Static 			0.000516
instance10 		18012			random                                              			Dynamic			0.000460
instance10 		15357			crescent                                            			Static 			0.000336
instance10 		14878			ratio value/weightOfMostCriticalDimension descending			Dynamic			0.001860
instance10 		14878			ratio value/weightOfMostFullDimension descending    			Dynamic			0.002692
instance10 		14641			crescent                                            			Dynamic			0.000356
instance10 		13207			ratio value/totalWeight crescent                    			Dynamic			0.000886
instance10 		13152			ratio value/weightOfMostFullDimension descending    			Static 			0.002598
instance10 		13152			ratio value/weightOfMostCriticalDimension descending			Static 			0.001464
instance10 		12946			ratio value/totalWeight crescent                    			Static 			0.000836
instance11 		41331			ratio value/totalWeight descending                  			Static 			0.000964
instance11 		41331			ratio value/totalWeight descending                  			Dynamic			0.000854
instance11 		39979			ratio value/weightOfMostCriticalDimension crescent  			Static 			0.001318
instance11 		39979			ratio value/weightOfMostFullDimension crescent      			Static 			0.002198
instance11 		39535			ratio value/weightOfMostCriticalDimension crescent  			Dynamic			0.001502
instance11 		39535			ratio value/weightOfMostFullDimension crescent      			Dynamic			0.001976
instance11 		37822			descending                                          			Static 			0.000462
instance11 		37822			descending                                          			Dynamic			0.000464
instance11 		35374			random                                              			Dynamic			0.000480
instance11 		34574			random                                              			Static 			0.000492
instance11 		33510			crescent                                            			Dynamic			0.000502
instance11 		31373			crescent                                            			Static 			0.000476
instance11 		30306			ratio value/weightOfMostFullDimension descending    			Static 			0.001790
instance11 		30306			ratio value/weightOfMostFullDimension descending    			Dynamic			0.001962
instance11 		30306			ratio value/weightOfMostCriticalDimension descending			Static 			0.001684
instance11 		30306			ratio value/weightOfMostCriticalDimension descending			Dynamic			0.001458
instance11 		30115			ratio value/totalWeight crescent                    			Dynamic			0.000948
instance11 		29594			ratio value/totalWeight crescent                    			Static 			0.000886
instance12 		40362			ratio value/totalWeight descending                  			Dynamic			0.000566
instance12 		39967			ratio value/weightOfMostCriticalDimension crescent  			Dynamic			0.001232
instance12 		39967			ratio value/weightOfMostFullDimension crescent      			Dynamic			0.001902
instance12 		38754			ratio value/totalWeight descending                  			Static 			0.000576
instance12 		38164			ratio value/weightOfMostFullDimension crescent      			Static 			0.001992
instance12 		38164			ratio value/weightOfMostCriticalDimension crescent  			Static 			0.001314
instance12 		34569			descending                                          			Static 			0.000252
instance12 		34569			descending                                          			Dynamic			0.000260
instance12 		34058			random                                              			Dynamic			0.000344
instance12 		33579			random                                              			Static 			0.000364
instance12 		28714			ratio value/totalWeight crescent                    			Dynamic			0.000620
instance12 		28597			ratio value/weightOfMostFullDimension descending    			Static 			0.001970
instance12 		28597			ratio value/weightOfMostFullDimension descending    			Dynamic			0.001942
instance12 		28597			ratio value/weightOfMostCriticalDimension descending			Static 			0.001524
instance12 		28597			ratio value/weightOfMostCriticalDimension descending			Dynamic			0.001396
instance12 		28506			ratio value/totalWeight crescent                    			Static 			0.000688
instance12 		27800			crescent                                            			Static 			0.000312
instance12 		27326			crescent                                            			Dynamic			0.000318
instance13 		39471			ratio value/totalWeight descending                  			Static 			0.000636
instance13 		38886			ratio value/totalWeight descending                  			Dynamic			0.000822
instance13 		37757			ratio value/weightOfMostCriticalDimension crescent  			Dynamic			0.001748
instance13 		37757			ratio value/weightOfMostFullDimension crescent      			Dynamic			0.002398
instance13 		37613			ratio value/weightOfMostFullDimension crescent      			Static 			0.003834
instance13 		37613			ratio value/weightOfMostCriticalDimension crescent  			Static 			0.001920
instance13 		37474			descending                                          			Static 			0.000252
instance13 		37474			descending                                          			Dynamic			0.000354
instance13 		32361			crescent                                            			Static 			0.000364
instance13 		31567			crescent                                            			Dynamic			0.000274
instance13 		29865			random                                              			Static 			0.000336
instance13 		29865			random                                              			Dynamic			0.000330
instance13 		29708			ratio value/weightOfMostCriticalDimension descending			Static 			0.002350
instance13 		29708			ratio value/weightOfMostFullDimension descending    			Static 			0.002076
instance13 		28055			ratio value/weightOfMostCriticalDimension descending			Dynamic			0.001904
instance13 		28055			ratio value/weightOfMostFullDimension descending    			Dynamic			0.002280
instance13 		26233			ratio value/totalWeight crescent                    			Static 			0.000866
instance13 		24735			ratio value/totalWeight crescent                    			Dynamic			0.000930
instance14 		41106			ratio value/totalWeight descending                  			Static 			0.000626
instance14 		41106			ratio value/totalWeight descending                  			Dynamic			0.000728
instance14 		39721			ratio value/weightOfMostCriticalDimension crescent  			Static 			0.001770
instance14 		39721			ratio value/weightOfMostCriticalDimension crescent  			Dynamic			0.001662
instance14 		39721			ratio value/weightOfMostFullDimension crescent      			Static 			0.002272
instance14 		39721			ratio value/weightOfMostFullDimension crescent      			Dynamic			0.002486
instance14 		38227			descending                                          			Static 			0.000390
instance14 		38227			descending                                          			Dynamic			0.000272
instance14 		35662			random                                              			Dynamic			0.000368
instance14 		32672			random                                              			Static 			0.000350
instance14 		32528			crescent                                            			Static 			0.000314
instance14 		31309			ratio value/weightOfMostCriticalDimension descending			Dynamic			0.001476
instance14 		31309			ratio value/weightOfMostFullDimension descending    			Dynamic			0.002510
instance14 		29580			crescent                                            			Dynamic			0.000284
instance14 		29382			ratio value/weightOfMostFullDimension descending    			Static 			0.002606
instance14 		29382			ratio value/weightOfMostCriticalDimension descending			Static 			0.001518
instance14 		28894			ratio value/totalWeight crescent                    			Dynamic			0.000612
instance14 		28749			ratio value/totalWeight crescent                    			Static 			0.000626
instance15 		39319			ratio value/totalWeight descending                  			Static 			0.000860
instance15 		38870			ratio value/totalWeight descending                  			Dynamic			0.000938
instance15 		37223			ratio value/weightOfMostCriticalDimension crescent  			Dynamic			0.001754
instance15 		37223			ratio value/weightOfMostFullDimension crescent      			Dynamic			0.002024
instance15 		36863			ratio value/weightOfMostFullDimension crescent      			Static 			0.001948
instance15 		36863			ratio value/weightOfMostCriticalDimension crescent  			Static 			0.001802
instance15 		33548			random                                              			Static 			0.000554
instance15 		32889			random                                              			Dynamic			0.000646
instance15 		30802			descending                                          			Static 			0.000424
instance15 		30802			descending                                          			Dynamic			0.000386
instance15 		30677			crescent                                            			Static 			0.000384
instance15 		30196			crescent                                            			Dynamic			0.000416
instance15 		29168			ratio value/weightOfMostCriticalDimension descending			Dynamic			0.001898
instance15 		29168			ratio value/weightOfMostFullDimension descending    			Dynamic			0.002290
instance15 		28412			ratio value/totalWeight crescent                    			Static 			0.000886
instance15 		27906			ratio value/totalWeight crescent                    			Dynamic			0.000982
instance15 		27607			ratio value/weightOfMostFullDimension descending    			Static 			0.002514
instance15 		27607			ratio value/weightOfMostCriticalDimension descending			Static 			0.001752
instance16 		40410			ratio value/totalWeight descending                  			Dynamic			0.000734
instance16 		40320			ratio value/totalWeight descending                  			Static 			0.000772
instance16 		38147			descending                                          			Static 			0.000286
instance16 		38147			descending                                          			Dynamic			0.000274
instance16 		37007			ratio value/weightOfMostCriticalDimension crescent  			Static 			0.001604
instance16 		37007			ratio value/weightOfMostFullDimension crescent      			Static 			0.001958
instance16 		36408			ratio value/weightOfMostCriticalDimension crescent  			Dynamic			0.001378
instance16 		36408			ratio value/weightOfMostFullDimension crescent      			Dynamic			0.001820
instance16 		33499			random                                              			Dynamic			0.000380
instance16 		31097			random                                              			Static 			0.000366
instance16 		29340			crescent                                            			Dynamic			0.000360
instance16 		29020			ratio value/weightOfMostCriticalDimension descending			Static 			0.001488
instance16 		29020			ratio value/weightOfMostFullDimension descending    			Static 			0.001888
instance16 		28914			ratio value/totalWeight crescent                    			Dynamic			0.000866
instance16 		28583			ratio value/weightOfMostCriticalDimension descending			Dynamic			0.001552
instance16 		28583			ratio value/weightOfMostFullDimension descending    			Dynamic			0.001834
instance16 		27016			crescent                                            			Static 			0.000332
instance16 		26950			ratio value/totalWeight crescent                    			Static 			0.000658
instance17 		38601			ratio value/totalWeight descending                  			Dynamic			0.000924
instance17 		38004			ratio value/totalWeight descending                  			Static 			0.000916
instance17 		37588			ratio value/weightOfMostCriticalDimension crescent  			Static 			0.001730
instance17 		37588			ratio value/weightOfMostFullDimension crescent      			Static 			0.002500
instance17 		37505			ratio value/weightOfMostCriticalDimension crescent  			Dynamic			0.001690
instance17 		37505			ratio value/weightOfMostFullDimension crescent      			Dynamic			0.002550
instance17 		36831			descending                                          			Static 			0.000258
instance17 		36831			descending                                          			Dynamic			0.000256
instance17 		34344			random                                              			Dynamic			0.000338
instance17 		33707			random                                              			Static 			0.000364
instance17 		29109			crescent                                            			Static 			0.000416
instance17 		27468			ratio value/totalWeight crescent                    			Dynamic			0.000950
instance17 		27312			ratio value/weightOfMostCriticalDimension descending			Static 			0.001746
instance17 		27312			ratio value/weightOfMostFullDimension descending    			Static 			0.002392
instance17 		27163			ratio value/totalWeight crescent                    			Static 			0.000862
instance17 		26529			crescent                                            			Dynamic			0.000478
instance17 		25434			ratio value/weightOfMostCriticalDimension descending			Dynamic			0.001522
instance17 		25434			ratio value/weightOfMostFullDimension descending    			Dynamic			0.002426
instance18 		42909			ratio value/totalWeight descending                  			Dynamic			0.000906
instance18 		40471			ratio value/weightOfMostCriticalDimension crescent  			Static 			0.001628
instance18 		40471			ratio value/weightOfMostFullDimension crescent      			Static 			0.002374
instance18 		38199			ratio value/totalWeight descending                  			Static 			0.000964
instance18 		37450			ratio value/weightOfMostCriticalDimension crescent  			Dynamic			0.001656
instance18 		37450			ratio value/weightOfMostFullDimension crescent      			Dynamic			0.002616
instance18 		37351			random                                              			Dynamic			0.000500
instance18 		37286			descending                                          			Static 			0.000420
instance18 		37286			descending                                          			Dynamic			0.000432
instance18 		36597			random                                              			Static 			0.000520
instance18 		32901			crescent                                            			Static 			0.000454
instance18 		32752			crescent                                            			Dynamic			0.000530
instance18 		30577			ratio value/totalWeight crescent                    			Static 			0.000856
instance18 		30153			ratio value/weightOfMostCriticalDimension descending			Dynamic			0.001742
instance18 		30153			ratio value/weightOfMostFullDimension descending    			Dynamic			0.002448
instance18 		29766			ratio value/weightOfMostFullDimension descending    			Static 			0.002552
instance18 		29766			ratio value/weightOfMostCriticalDimension descending			Static 			0.001762
instance18 		29498			ratio value/totalWeight crescent                    			Dynamic			0.000900
instance19 		40392			ratio value/totalWeight descending                  			Static 			0.000966
instance19 		39700			ratio value/totalWeight descending                  			Dynamic			0.000916
instance19 		38494			descending                                          			Static 			0.000498
instance19 		38494			descending                                          			Dynamic			0.000476
instance19 		38045			ratio value/weightOfMostCriticalDimension crescent  			Static 			0.001760
instance19 		38045			ratio value/weightOfMostFullDimension crescent      			Static 			0.002012
instance19 		36955			ratio value/weightOfMostCriticalDimension crescent  			Dynamic			0.001502
instance19 		36955			ratio value/weightOfMostFullDimension crescent      			Dynamic			0.001950
instance19 		36126			random                                              			Dynamic			0.000550
instance19 		36071			random                                              			Static 			0.000594
instance19 		34035			crescent                                            			Static 			0.000480
instance19 		33440			crescent                                            			Dynamic			0.000484
instance19 		31078			ratio value/weightOfMostCriticalDimension descending			Static 			0.001586
instance19 		31078			ratio value/weightOfMostFullDimension descending    			Static 			0.002250
instance19 		30651			ratio value/weightOfMostCriticalDimension descending			Dynamic			0.001728
instance19 		30651			ratio value/weightOfMostFullDimension descending    			Dynamic			0.001988
instance19 		28728			ratio value/totalWeight crescent                    			Dynamic			0.000814
instance19 		28199			ratio value/totalWeight crescent                    			Static 			0.000878
instance20 		42749			ratio value/totalWeight descending                  			Static 			0.000570
instance20 		42040			ratio value/weightOfMostCriticalDimension crescent  			Static 			0.001686
instance20 		42040			ratio value/weightOfMostFullDimension crescent      			Static 			0.002554
instance20 		42036			ratio value/totalWeight descending                  			Dynamic			0.000558
